Filename,Species,Subspecies,Breed,Animal ID,Haplotype,Special interest,Global region,Sample origin,Contributor location,Reference annotation,Species representative,Subspecies representative,Breed representative,Freeze,Graphs,Responsible contact,Public download
Tuli_haplotype2_v1.polished,Bos taurus,Taurine,Tuli,59F033BE,2,,Zimbabwe,,Australia,Y,,,Y,1,,wai.low@adelaide.edu.au,
Wagyu_haplotype1_v1.polished,Bos taurus,Taurine,Wagyu,59F033BE,1,,Japan,,Australia,Y,,,Y,1,,wai.low@adelaide.edu.au,
Brangus_maternal,Bos taurus,Indicine,Brahman,A234D56C,2,,America,,Australia,Y,,,Y,1,,wai.low@adelaide.edu.au,GCA_003369695.2
Brangus_paternal,Bos taurus,Taurine,Angus,A234D56C,1,,United Kingdom,,Australia,,,,N,1,,wai.low@adelaide.edu.au,GCA_003369685.2
Olimpia,Bubalus bubalis,River,River buffalo,CB4AB3E5,0,,Italy,,Australia,,,,Y,1,,wai.low@adelaide.edu.au,
PCC_Swamp,Bubalus bubalis,Swamp,Swamp buffalo,792666FB,0,,Philippines,,Australia,,,,Y,1,,wai.low@adelaide.edu.au,
OxO_1,Bos taurus,Taurine,Original Braunvieh,3110DC03,1,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
OxO_2,Bos taurus,Taurine,Original Braunvieh,3110DC03,2,,Switzerland,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
NxB_1,Bos taurus,Indicine,Nelore,D01A220B,1,,India,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
NxB_2,Bos taurus,Taurine,Brown Swiss,D01A220B,2,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
GxS_1,Bos taurus,Indicine,Gyr,4EF0C6C1,1,,India,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
GxS_2,Bos taurus,Taurine,Simmental,4EF0C6C1,2,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
ZxE_1,Bos taurus,Indicine,Dwarf Zebu,0FB5A38A,1,,India,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
ZxE_2,Bos taurus,Taurine,Evolener,0FB5A38A,2,,Switzerland,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
RxS_1,Bos taurus,Taurine,Rätisches Grauvieh,7B021788,1,,Switzerland,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
RxS_2,Bos taurus,Taurine,Simmental,7B021788,2,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
ExS_1,Bos taurus,Taurine,Eringer,067E0B7E,1,,Switzerland,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
ExS_2,Bos taurus,Taurine,Simmental,067E0B7E,2,,Switzerland,Switzerland,Switzerland,,,,,1,,hubert.pausch@usys.ethz.ch,
PxE_1,Bos taurus,Taurine,Pustertaler,D6D55017,1,"""Minor diffusion""",Italy,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
PxE_2,Bos taurus,Taurine,Evolener,D6D55017,2,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
BxB_1,Bos taurus,Taurine,Brown Swiss,3BE9F1E0,1,,Switzerland,Switzerland,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
BxB_2,Bos taurus,Taurine,Brown Swiss,3BE9F1E0,2,,Switzerland,Switzerland,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
WIS_1,Bison bonasus,European,European Bison,2FE830CD,0,,Poland,Switzerland,Switzerland,,Y,Y,Y,1,,hubert.pausch@usys.ethz.ch,
TxT_1,Bos taurus,Indicine,Tabapuã,CB417D05,1,,Brazil,Brazil,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
TxT_2,Bos taurus,Indicine,Tabapuã,CB417D05,2,,Brazil,Brazil,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
SxS_1,Bos taurus,Indicine,Sindhi,5D0B744C,1,,Pakistan,,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
SxS_2,Bos taurus,Indicine,Sindhi,5D0B744C,2,,Pakistan,,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
GxG_1,Bos taurus,Indicine,Guzerá,E2D6689A,1,,Brazil,,Switzerland,,,,Y,1,,hubert.pausch@usys.ethz.ch,
GxG_2,Bos taurus,Indicine,Guzerá,E2D6689A,2,,Brazil,,Switzerland,,,,N,1,,hubert.pausch@usys.ethz.ch,
NIAB-ARS_B.indTharparkar_mat_pri_1.0,Bos taurus,Indicine,Tharparkar,7BB17341,2,,India,,,,,,Y,1,,public,GCA_029378735.1
NIAB-ARS_B.indSahiwal_pat_alt_1.0,Bos taurus,Indicine,Sahiwal,7BB17341,1,,India,,,Y,,,Y,1,,public,GCA_029378745.1
37160,Bos taurus,Taurine,Charolais,1C5D45B3,0,,France,,France,,,,N,1,,mekki.boussaha@inrae.fr,GCA_947034695.1
777_trim.asm.bp.hap2.p_ctg,Bos taurus,Sanga,Ankole,34C277CE,2,,Uganda,,United Kingdom,,,Y,Y,1,,James.Prendergast@ed.ac.uk,
777_trim.asm.bp.hap1.p_ctg,Bos taurus,Sanga,Ankole,34C277CE,1,,Uganda,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
1004_trim.asm.bp.hap1.p_ctg,Bos taurus,Sanga,Ankole,DE8E814F,1,,Uganda,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ND21_trim.asm.bp.hap1.p_ctg,Bos taurus,Taurine,Ndama,550D8855,1,,Guinea,,United Kingdom,,,,Y,1,,James.Prendergast@ed.ac.uk,
ZA12_trim.asm.bp.hap1.p_ctg,Bos taurus,Indicine,Angoni,6400A9B3,1,,Malawi,,United Kingdom,,,,Y,1,,James.Prendergast@ed.ac.uk,
ND21_trim.asm.bp.hap2.p_ctg,Bos taurus,Taurine,Ndama,550D8855,2,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
1004_trim.asm.bp.hap2.p_ctg,Bos taurus,Sanga,Ankole,DE8E814F,2,,Uganda,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA11_trim.asm.bp.hap1.p_ctg,Bos taurus,Indicine,Angoni,555C677E,1,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA11_trim.asm.bp.hap2.p_ctg,Bos taurus,Indicine,Angoni,555C677E,2,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZB13_trim.asm.bp.hap2.p_ctg,Bos taurus,Sanga,Barotse,84E1FD83,2,,Zambia,,United Kingdom,,,,Y,1,,James.Prendergast@ed.ac.uk,
